Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,UK Pound Sterling/US Dollar FX Spot Rate | Price History                                          26-Jan-2022 16:32
29-Jul-2021,1.3961,1.3965,1.3981,1.3893,1.3898,82290,+0.0063,
28-Jul-2021,1.3898,1.3902,1.3910,1.3842,1.3879,85547,+0.0024,
27-Jul-2021,1.3874,1.3882,1.3893,1.3765,1.3814,74751,+0.0058,
26-Jul-2021,1.3816,1.3820,1.3833,1.3735,1.3752,61793,+0.0071,
23-Jul-2021,1.3745,1.3749,1.3780,1.3718,1.3765,73009,-0.0018,
22-Jul-2021,1.3763,1.3772,1.3786,1.3689,1.3712,85599,+0.0053,
21-Jul-2021,1.3710,1.3714,1.3723,1.3589,1.3627,80097,+0.0084,
20-Jul-2021,1.3626,1.3630,1.3689,1.3570,1.3676,105796,-0.0046,
19-Jul-2021,1.3672,1.3677,1.3785,1.3653,1.3785,107275,-0.0100,
16-Jul-2021,1.3772,1.3776,1.3861,1.3758,1.3828,91758,-0.0056,
15-Jul-2021,1.3828,1.3832,1.3898,1.3803,1.3856,89854,-0.0028,
14-Jul-2021,1.3856,1.3860,1.3891,1.3800,1.3812,77332,+0.0048,
13-Jul-2021,1.3808,1.3817,1.3905,1.3798,1.3883,72882,-0.0072,
12-Jul-2021,1.3880,1.3884,1.3910,1.3837,1.3900,103705,-0.0019,
09-Jul-2021,1.3899,1.3903,1.3908,1.3754,1.3787,95004,+0.0114,
08-Jul-2021,1.3785,1.3788,1.3806,1.3740,1.3799,95919,-0.0015,
07-Jul-2021,1.3800,1.3804,1.3841,1.3752,1.3799,88334,+0.0001,
06-Jul-2021,1.3799,1.3803,1.3897,1.3771,1.3842,118646,-0.0046,
05-Jul-2021,1.3845,1.3849,1.3861,1.3816,1.3820,63132,+0.0024,
02-Jul-2021,1.3821,1.3824,1.3844,1.3730,1.3767,68934,+0.0054,
01-Jul-2021,1.3767,1.3771,1.3834,1.3751,1.3827,73048,-0.0060,
30-Jun-2021,1.3827,1.3831,1.3872,1.3796,1.3837,79702,-0.0008,
29-Jun-2021,1.3835,1.3839,1.3887,1.3812,1.3883,76330,-0.0048,
28-Jun-2021,1.3883,1.3887,1.3939,1.3869,1.3882,62736,+0.0006,
25-Jun-2021,1.3877,1.3880,1.3935,1.3869,1.3921,76602,-0.0045,
24-Jun-2021,1.3922,1.3925,1.3986,1.3888,1.3961,87532,-0.0037,
23-Jun-2021,1.3959,1.3967,1.4001,1.3922,1.3946,73856,+0.0012,
22-Jun-2021,1.3947,1.3951,1.3963,1.3858,1.3927,82440,+0.0018,
21-Jun-2021,1.3929,1.3937,1.3936,1.3784,1.3809,96835,+0.0120,
18-Jun-2021,1.3809,1.3813,1.3944,1.3790,1.3919,120822,-0.0110,
17-Jun-2021,1.3919,1.3923,1.4008,1.3894,1.3986,94654,-0.0068,
16-Jun-2021,1.3987,1.3990,1.4132,1.3980,1.4079,76374,-0.0093,
15-Jun-2021,1.4080,1.4087,1.4128,1.4032,1.4112,76877,-0.0032,
14-Jun-2021,1.4112,1.4115,1.4123,1.4068,1.4117,79887,+0.0006,
11-Jun-2021,1.4106,1.4109,1.4185,1.4093,1.4175,67918,-0.0067,
10-Jun-2021,1.4173,1.4180,1.4178,1.4071,1.4119,75886,+0.0055,
09-Jun-2021,1.4118,1.4122,1.4189,1.4108,1.4156,72802,-0.0037,
08-Jun-2021,1.4155,1.4159,1.4185,1.4119,1.4181,84792,-0.0023,
07-Jun-2021,1.4178,1.4182,1.4189,1.4110,1.4169,77004,+0.0024,
04-Jun-2021,1.4154,1.4158,1.4200,1.4081,1.4103,77785,+0.0051,
03-Jun-2021,1.4103,1.4108,1.4202,1.4085,1.4169,80116,-0.0065,
02-Jun-2021,1.4168,1.4172,1.4183,1.4110,1.4151,106173,+0.0022,
01-Jun-2021,1.4146,1.4153,1.4248,1.4145,1.4211,94854,-0.0063,
31-May-2021,1.4209,1.4215,1.4217,1.4162,1.4178,90778,+0.0022,
28-May-2021,1.4187,1.4191,1.4210,1.4134,1.4205,96029,-0.0018,
27-May-2021,1.4205,1.4209,1.4218,1.4090,1.4119,134055,+0.0087,
26-May-2021,1.4118,1.4122,1.4176,1.4110,1.4151,121076,-0.0033,
25-May-2021,1.4151,1.4156,1.4210,1.4114,1.4155,117478,-0.0004,
24-May-2021,1.4155,1.4159,1.4171,1.4109,1.4157,96110,+0.0008,
21-May-2021,1.4147,1.4152,1.4233,1.4138,1.4188,109272,-0.0042,
20-May-2021,1.4189,1.4193,1.4192,1.4099,1.4108,104666,+0.0076,
19-May-2021,1.4113,1.4117,1.4200,1.4098,1.4188,119304,-0.0074,
18-May-2021,1.4187,1.4191,1.4219,1.4127,1.4129,117279,+0.0053,
17-May-2021,1.4134,1.4138,1.4146,1.4075,1.4088,79536,+0.0038,
14-May-2021,1.4096,1.4100,1.4110,1.4034,1.4049,83053,+0.0046,
13-May-2021,1.4050,1.4054,1.4078,1.4003,1.4051,98870,-0.0002,
12-May-2021,1.4052,1.4056,1.4153,1.4048,1.4139,92483,-0.0089,
11-May-2021,1.4141,1.4144,1.4165,1.4102,1.4116,115049,+0.0021,
10-May-2021,1.4120,1.4128,1.4158,1.3976,1.3978,111020,+0.0148,
07-May-2021,1.3972,1.3976,1.4005,1.3884,1.3885,87185,+0.0087,
06-May-2021,1.3885,1.3889,1.3940,1.3853,1.3901,99704,-0.0018,
05-May-2021,1.3903,1.3907,1.3926,1.3872,1.3885,106065,+0.0018,
04-May-2021,1.3885,1.3888,1.3913,1.3836,1.3909,99804,-0.0024,
03-May-2021,1.3909,1.3913,1.3931,1.3799,1.3825,70323,+0.0095,
30-Apr-2021,1.3814,1.3818,1.3958,1.3800,1.3940,99939,-0.0126,
29-Apr-2021,1.3940,1.3944,1.3976,1.3929,1.3937,81011,+0.0008,
28-Apr-2021,1.3932,1.3936,1.3950,1.3859,1.3914,87780,+0.0020,
27-Apr-2021,1.3912,1.3916,1.3923,1.3857,1.3896,104319,+0.0016,
26-Apr-2021,1.3896,1.3899,1.3929,1.3863,1.3871,102410,+0.0022,
23-Apr-2021,1.3874,1.3878,1.3895,1.3831,1.3836,84973,+0.0038,
22-Apr-2021,1.3836,1.3840,1.3949,1.3822,1.3929,99289,-0.0093,
21-Apr-2021,1.3929,1.3933,1.3949,1.3884,1.3936,94247,-0.0007,
20-Apr-2021,1.3936,1.3939,1.4008,1.3924,1.3983,94450,-0.0047,
19-Apr-2021,1.3983,1.3990,1.3992,1.3808,1.3825,85118,+0.0153,
16-Apr-2021,1.3830,1.3833,1.3842,1.3715,1.3782,102942,+0.0044,
15-Apr-2021,1.3786,1.3789,1.3808,1.3760,1.3779,107077,+0.0008,
14-Apr-2021,1.3778,1.3782,1.3808,1.3745,1.3747,96449,+0.0030,
13-Apr-2021,1.3748,1.3752,1.3768,1.3692,1.3738,94399,+0.0008,
12-Apr-2021,1.3740,1.3744,1.3776,1.3667,1.3708,94709,+0.0032,
09-Apr-2021,1.3708,1.3711,1.3750,1.3669,1.3732,88884,-0.0025,
08-Apr-2021,1.3733,1.3736,1.3782,1.3717,1.3734,99942,-0.0001,
07-Apr-2021,1.3734,1.3738,1.3839,1.3722,1.3823,121477,-0.0089,
06-Apr-2021,1.3823,1.3827,1.3918,1.3800,1.3900,96112,-0.0074,
05-Apr-2021,1.3897,1.3901,1.3913,1.3811,1.3825,71847,+0.0068,
02-Apr-2021,1.3829,1.3833,1.3852,1.3810,1.3830,76452,-0.0001,
01-Apr-2021,1.3830,1.3836,1.3836,1.3744,1.3779,128664,+0.0051,
31-Mar-2021,1.3779,1.3786,1.3811,1.3714,1.3738,126678,+0.0040,
30-Mar-2021,1.3739,1.3743,1.3783,1.3704,1.3759,102527,-0.0020,
29-Mar-2021,1.3759,1.3766,1.3846,1.3754,1.3791,116606,-0.0028,
26-Mar-2021,1.3787,1.3791,1.3812,1.3726,1.3729,98152,+0.0055,
25-Mar-2021,1.3732,1.3736,1.3745,1.3668,1.3686,110057,+0.0049,
24-Mar-2021,1.3683,1.3692,1.3760,1.3672,1.3750,120604,-0.0067,
23-Mar-2021,1.3750,1.3754,1.3866,1.3738,1.3861,116005,-0.0113,
22-Mar-2021,1.3863,1.3865,1.3876,1.3816,1.3864,90383,-0.0005,
19-Mar-2021,1.3868,1.3872,1.3958,1.3828,1.3922,123963,-0.0052,
18-Mar-2021,1.3920,1.3925,1.4001,1.3895,1.3966,130084,-0.0043,
17-Mar-2021,1.3963,1.3967,1.3970,1.3849,1.3888,117162,+0.0076,
16-Mar-2021,1.3887,1.3894,1.3905,1.3807,1.3897,103431,-0.0006,
15-Mar-2021,1.3893,1.3897,1.3949,1.3849,1.3918,120675,-0.0029,
12-Mar-2021,1.3922,1.3927,1.4004,1.3861,1.3988,138382,-0.0068,
11-Mar-2021,1.3990,1.3994,1.3994,1.3915,1.3932,127050,+0.0060,
10-Mar-2021,1.3930,1.3934,1.3938,1.3844,1.3891,139425,+0.0037,
09-Mar-2021,1.3893,1.3896,1.3925,1.3800,1.3824,158400,+0.0069,
08-Mar-2021,1.3824,1.3828,1.3865,1.3798,1.3835,157662,-0.0017,
05-Mar-2021,1.3841,1.3845,1.3906,1.3777,1.3894,150383,-0.0053,
04-Mar-2021,1.3894,1.3899,1.4016,1.3878,1.3951,167344,-0.0059,
03-Mar-2021,1.3953,1.3957,1.4006,1.3918,1.3951,153089,0.0000,
02-Mar-2021,1.3953,1.3957,1.3976,1.3857,1.3921,151910,+0.0031,
01-Mar-2021,1.3922,1.3926,1.3999,1.3902,1.3937,162238,-0.0010,
26-Feb-2021,1.3932,1.3936,1.4026,1.3886,1.4013,177741,-0.0081,
25-Feb-2021,1.4013,1.4017,1.4181,1.3998,1.4132,189693,-0.0126,
24-Feb-2021,1.4139,1.4143,1.4235,1.4080,1.4108,137035,+0.0029,
23-Feb-2021,1.4110,1.4114,1.4116,1.4052,1.4061,146306,+0.0049,
22-Feb-2021,1.4061,1.4067,1.4085,1.3978,1.4013,121008,+0.0047,
19-Feb-2021,1.4014,1.4018,1.4035,1.3949,1.3971,139066,+0.0043,
18-Feb-2021,1.3971,1.3980,1.3985,1.3838,1.3851,152926,+0.0118,
17-Feb-2021,1.3853,1.3857,1.3910,1.3828,1.3900,183534,-0.0048,
16-Feb-2021,1.3901,1.3905,1.3951,1.3867,1.3901,169927,-0.0002,
15-Feb-2021,1.3903,1.3907,1.3919,1.3844,1.3844,123971,+0.0059,
12-Feb-2021,1.3844,1.3848,1.3862,1.3773,1.3814,137728,+0.0029,
11-Feb-2021,1.3815,1.3819,1.3859,1.3799,1.3830,161075,-0.0013,
10-Feb-2021,1.3828,1.3837,1.3866,1.3801,1.3814,190911,+0.0014,
09-Feb-2021,1.3814,1.3818,1.3819,1.3733,1.3739,157830,+0.0076,
08-Feb-2021,1.3738,1.3742,1.3748,1.3678,1.3727,138310,+0.0005,
05-Feb-2021,1.3733,1.3737,1.3740,1.3657,1.3670,151921,+0.0063,
04-Feb-2021,1.3670,1.3674,1.3697,1.3564,1.3643,143306,+0.0026,
03-Feb-2021,1.3644,1.3649,1.3683,1.3617,1.3665,133051,-0.0021,
02-Feb-2021,1.3665,1.3669,1.3710,1.3609,1.3662,146961,+0.0004,
01-Feb-2021,1.3661,1.3665,1.3757,1.3654,1.3711,150347,-0.0041,
29-Jan-2021,1.3702,1.3705,1.3751,1.3655,1.3719,186228,-0.0016,
28-Jan-2021,1.3718,1.3722,1.3745,1.3628,1.3686,184081,+0.0032,
27-Jan-2021,1.3686,1.3690,1.3758,1.3657,1.3734,166199,-0.0047,
26-Jan-2021,1.3733,1.3738,1.3744,1.3608,1.3672,124386,+0.0059,
25-Jan-2021,1.3674,1.3677,1.3723,1.3647,1.3678,139688,-0.0010,
22-Jan-2021,1.3684,1.3688,1.3736,1.3634,1.3729,172622,-0.0048,
21-Jan-2021,1.3732,1.3735,1.3746,1.3648,1.3652,176078,+0.0079,
20-Jan-2021,1.3653,1.3657,1.3717,1.3621,1.3628,159651,+0.0025,
19-Jan-2021,1.3628,1.3631,1.3636,1.3569,1.3585,152491,+0.0044,
18-Jan-2021,1.3584,1.3589,1.3598,1.3518,1.3592,133855,-0.0002,
15-Jan-2021,1.3586,1.3590,1.3698,1.3570,1.3686,154815,-0.0101,
14-Jan-2021,1.3687,1.3691,1.3709,1.3614,1.3638,159671,+0.0050,
13-Jan-2021,1.3637,1.3641,1.3700,1.3610,1.3666,156789,-0.0026,
12-Jan-2021,1.3663,1.3667,1.3670,1.3502,1.3519,156367,+0.0149,
11-Jan-2021,1.3514,1.3517,1.3566,1.3449,1.3565,149566,-0.0049,
08-Jan-2021,1.3563,1.3567,1.3635,1.3537,1.3563,139697,0.0000,
07-Jan-2021,1.3563,1.3568,1.3633,1.3531,1.3606,157308,-0.0044,
06-Jan-2021,1.3607,1.3611,1.3670,1.3537,1.3623,150614,-0.0017,
05-Jan-2021,1.3624,1.3628,1.3641,1.3552,1.3570,155212,+0.0055,
04-Jan-2021,1.3569,1.3574,1.3703,1.3539,1.3663,131658,-0.0102,
01-Jan-2021,1.3671,1.3675,1.3681,1.3671,1.3671,1447,-0.0002,
31-Dec-2020,1.3673,1.3678,1.3686,1.3603,1.3622,152239,+0.0051,
30-Dec-2020,1.3622,1.3627,1.3625,1.3491,1.3501,147187,+0.0122,
29-Dec-2020,1.3500,1.3503,1.3522,1.3444,1.3448,133086,+0.0051,
28-Dec-2020,1.3449,1.3453,1.3575,1.3427,1.3544,105944,-0.0099,
25-Dec-2020,1.3548,1.3552,1.3587,1.3548,1.3556,1681,-0.0007,
24-Dec-2020,1.3555,1.3559,1.3619,1.3487,1.3494,158471,+0.0063,
23-Dec-2020,1.3492,1.3496,1.3570,1.3350,1.3361,173439,+0.0132,
22-Dec-2020,1.3360,1.3364,1.3469,1.3302,1.3463,170817,-0.0103,
21-Dec-2020,1.3463,1.3472,1.3496,1.3187,1.3473,169701,-0.0057,
18-Dec-2020,1.3520,1.3524,1.3590,1.3470,1.3585,158853,-0.0062,
17-Dec-2020,1.3582,1.3586,1.3624,1.3493,1.3508,155895,+0.0075,
16-Dec-2020,1.3507,1.3511,1.3552,1.3432,1.3458,145023,+0.0046,
15-Dec-2020,1.3461,1.3464,1.3469,1.3278,1.3321,121999,+0.0139,
14-Dec-2020,1.3322,1.3326,1.3445,1.3272,1.3279,108710,+0.0099,
11-Dec-2020,1.3223,1.3227,1.3324,1.3133,1.3294,138478,-0.0070,
10-Dec-2020,1.3293,1.3296,1.3412,1.3244,1.3401,138540,-0.0103,
09-Dec-2020,1.3396,1.3400,1.3477,1.3348,1.3353,119726,+0.0043,
08-Dec-2020,1.3353,1.3357,1.3391,1.3288,1.3376,137800,-0.0023,
07-Dec-2020,1.3376,1.3380,1.3447,1.3223,1.3447,134389,-0.0061,
04-Dec-2020,1.3437,1.3442,1.3539,1.3408,1.3445,150709,-0.0015,
03-Dec-2020,1.3452,1.3456,1.3499,1.3351,1.3359,164977,+0.0089,
02-Dec-2020,1.3363,1.3367,1.3440,1.3286,1.3421,143828,-0.0052,
01-Dec-2020,1.3415,1.3418,1.3440,1.3313,1.3322,136383,+0.0094,
30-Nov-2020,1.3321,1.3325,1.3384,1.3302,1.3312,133826,+0.0007,
27-Nov-2020,1.3314,1.3318,1.3381,1.3286,1.3352,147764,-0.0041,
26-Nov-2020,1.3355,1.3362,1.3397,1.3320,1.3374,130468,-0.0027,
25-Nov-2020,1.3382,1.3386,1.3393,1.3303,1.3360,149753,+0.0026,
24-Nov-2020,1.3356,1.3363,1.3380,1.3291,1.3322,140775,+0.0033,
23-Nov-2020,1.3323,1.3325,1.3397,1.3262,1.3273,144148,+0.0041,
20-Nov-2020,1.3282,1.3286,1.3296,1.3242,1.3259,147758,+0.0021,
19-Nov-2020,1.3261,1.3264,1.3279,1.3194,1.3273,162809,-0.0008,
18-Nov-2020,1.3269,1.3275,1.3311,1.3240,1.3242,149983,+0.0028,
17-Nov-2020,1.3241,1.3249,1.3272,1.3185,1.3193,156950,+0.0050,
16-Nov-2020,1.3191,1.3200,1.3242,1.3160,1.3177,139327,+0.0005,
13-Nov-2020,1.3186,1.3190,1.3201,1.3107,1.3116,155610,+0.0072,
12-Nov-2020,1.3114,1.3118,1.3228,1.3104,1.3220,174577,-0.0107,
11-Nov-2020,1.3221,1.3225,1.3308,1.3187,1.3266,165959,-0.0050,
10-Nov-2020,1.3271,1.3275,1.3277,1.3153,1.3164,173728,+0.0108,
09-Nov-2020,1.3163,1.3167,1.3207,1.3117,1.3162,161432,+0.0007,
06-Nov-2020,1.3156,1.3159,1.3177,1.3091,1.3142,183363,+0.0014,
05-Nov-2020,1.3142,1.3148,1.3154,1.2928,1.2987,183381,+0.0157,
04-Nov-2020,1.2985,1.2990,1.3139,1.2912,1.3058,175280,-0.0073,
03-Nov-2020,1.3058,1.3062,1.3078,1.2901,1.2913,142533,+0.0146,
02-Nov-2020,1.2912,1.2916,1.2952,1.2852,1.2944,135531,-0.0029,
30-Oct-2020,1.2941,1.2945,1.2987,1.2896,1.2927,172864,+0.0015,
29-Oct-2020,1.2926,1.2929,1.3025,1.2879,1.2982,165881,-0.0055,
28-Oct-2020,1.2981,1.2984,1.3063,1.2915,1.3044,162003,-0.0062,
27-Oct-2020,1.3043,1.3046,1.3079,1.2999,1.3018,132878,+0.0020,
26-Oct-2020,1.3023,1.3025,1.3074,1.2991,1.3046,133776,-0.0017,
23-Oct-2020,1.3040,1.3044,1.3122,1.3017,1.3081,153938,-0.0041,
22-Oct-2020,1.3081,1.3086,1.3152,1.3068,1.3148,156376,-0.0063,
21-Oct-2020,1.3144,1.3148,1.3177,1.2933,1.2943,148809,+0.0200,
20-Oct-2020,1.2944,1.2953,1.2978,1.2909,1.2950,143058,-0.0003,
19-Oct-2020,1.2947,1.2951,1.3023,1.2888,1.2913,126161,+0.0034,
